history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
11/1/03,Consumer Price Index,Ammo,0.99793,11242791848,-4.80E-05
11/1/03,Consumer Price Index,Commodity,0.967794,2419523859,-0.000163
11/1/03,Consumer Price Index,Drones,1.026328,2783383735,0.000153
11/1/03,Consumer Price Index,Implants,0.641805,49628450440,-0.037262
11/1/03,Consumer Price Index,Skills,1.002347,81473574792,0.0004
11/1/03,Consumer Price Index,Starbase structures,1.016469,71905929193,0.002482
11/1/03,Consumer Price Index,Tech I modules,0.994753,34486870682,-0.000379
11/1/03,Consumer Price Index,Tech I ships,1.009651,2.13865E+11,0.004326
11/1/03,Consumer Price Index,Tech II modules,0.130387,9256302324,-0.016872
11/1/03,Mineral Price Index,High-End Minerals,1.054418,79317234301,0.017336
11/1/03,Mineral Price Index,Low-End Minerals,0.997431,1.69647E+11,-0.00175
11/1/03,Primary Producer Price Index,Ore,0.994527,24670427964,-0.003873
11/1/03,Primary Producer Price Index,Planetary Processed Materials,0.982903,2766366473,-0.001356
11/1/03,Primary Producer Price Index,Planetary Refined Commodities,0.990954,4998295223,-0.001297
11/1/03,Primary Producer Price Index,Planetary Specialized Commodities,1.002829,2424353653,0.000196
11/1/03,Secondary Producer Price Index,Blueprints,1.00788,40691228848,0.000777
11/1/03,Secondary Producer Price Index,Commodity,0.993285,1.1431E+11,-0.001861
11/1/03,Secondary Producer Price Index,Planetary Commodities,0.956725,342931274.6,-3.50E-05
11/1/03,Secondary Producer Price Index,Planetary Refined Commodities,0.923383,13295629159,-0.00247
11/1/03,Secondary Producer Price Index,Planetary Specialized Commodities,1.007038,2.43774E+11,0.00416
12/1/03,Consumer Price Index,Ammo,1.092578,14849654762,0.001951
12/1/03,Consumer Price Index,Commodity,1.037368,15403370661,0.000816
12/1/03,Consumer Price Index,Drones,1.242502,3365284841,0.001158
12/1/03,Consumer Price Index,Implants,1.108134,89191429291,0.013687
12/1/03,Consumer Price Index,Skills,1.007268,77989810481,0.000804
12/1/03,Consumer Price Index,Starbase structures,2.175668,1.82295E+11,0.304166
12/1/03,Consumer Price Index,Tech I modules,1.047325,38596509715,0.002592
12/1/03,Consumer Price Index,Tech I ships,1.192526,2.73408E+11,0.074705
12/1/03,Consumer Price Index,Tech II modules,0.609995,9510496575,-0.005264
12/1/03,Mineral Price Index,High-End Minerals,1.368097,1.21453E+11,0.160635
12/1/03,Mineral Price Index,Low-End Minerals,1.000136,1.56857E+11,7.60E-05
12/1/03,Primary Producer Price Index,Ore,1.019023,17179154234,0.005368
12/1/03,Primary Producer Price Index,Planetary Processed Materials,1.015225,7861485012,0.001966
12/1/03,Primary Producer Price Index,Planetary Refined Commodities,1.006332,19143786665,0.001991
12/1/03,Primary Producer Price Index,Planetary Specialized Commodities,0.993321,16688931282,-0.001831
12/1/03,Secondary Producer Price Index,Blueprints,1.035037,43739158372,0.002223
12/1/03,Secondary Producer Price Index,Commodity,1.004282,3.54008E+11,0.002199
12/1/03,Secondary Producer Price Index,Planetary Commodities,0.991342,1231097401,-1.50E-05
12/1/03,Secondary Producer Price Index,Planetary Refined Commodities,1.007714,28571432254,0.000319
12/1/03,Secondary Producer Price Index,Planetary Specialized Commodities,1.01496,2.61709E+11,0.00568
1/1/04,Consumer Price Index,Ammo,1.109937,28661794192,0.005337
1/1/04,Consumer Price Index,Commodity,0.743262,16209888253,-0.007048
1/1/04,Consumer Price Index,Drones,1.108313,4078510386,0.000748
1/1/04,Consumer Price Index,Implants,1.81376,1.23377E+11,0.170052
1/1/04,Consumer Price Index,Skills,0.835622,88429344169,-0.02462
1/1/04,Consumer Price Index,Starbase structures,1.027618,14595583732,0.000682
1/1/04,Consumer Price Index,Tech I modules,0.873363,57729378574,-0.012382
1/1/04,Consumer Price Index,Tech I ships,1.042469,2.51174E+11,0.018067
1/1/04,Consumer Price Index,Tech II modules,1.019813,6145255549,0.000206
1/1/04,Mineral Price Index,High-End Minerals,1.04137,1.03372E+11,0.017893
1/1/04,Mineral Price Index,Low-End Minerals,1.007054,1.35627E+11,0.004003
1/1/04,Primary Producer Price Index,Commodity,0.264282,197509702.5,-0.005293
